roi,epoch,training_run,rho,p_value
FFC,40,4,0.13437647155795085,0.0
FFC,41,4,0.13661670262117706,0.0
FFC,42,4,0.13476457783779694,0.0
FFC,43,4,0.13977762816243378,0.0
FFC,44,4,0.13418964763897057,0.0
FFC,45,4,0.13669159016523003,0.0
FFC,46,4,0.13333466460489904,0.0
FFC,47,4,0.13599167457975256,0.0
FFC,48,4,0.13492543418245168,0.0
FFC,49,4,0.13252184414467402,0.0
FFC,50,4,0.13655385374125328,0.0
FFC,51,4,0.13306162796232807,0.0
FFC,52,4,0.13756273774943492,0.0
FFC,53,4,0.13436476039684034,0.0
FFC,54,4,0.13746204643019494,0.0
FFC,55,4,0.1341295015591268,0.0
FFC,56,4,0.13326973047571491,0.0
FFC,57,4,0.13431988888843546,0.0
FFC,58,4,0.1358520079446119,0.0
FFC,59,4,0.13733709851276865,0.0
FFC,60,4,0.13647438332709236,0.0
FFC,61,4,0.13460428578545097,0.0
FFC,62,4,0.1354240087856691,0.0
FFC,63,4,0.1354767505915923,0.0
FFC,64,4,0.13329808687726796,0.0
FFC,65,4,0.1333094469032096,0.0
FFC,66,4,0.135176363510013,0.0
FFC,67,4,0.13661406278663824,0.0
FFC,68,4,0.13634556331504474,0.0
FFC,69,4,0.1343915475544311,0.0
FFC,70,4,0.13311303456752743,0.0
FFC,71,4,0.13629224738459997,0.0
FFC,72,4,0.1346097245421412,0.0
FFC,73,4,0.13349805778637572,0.0
FFC,74,4,0.13336925773715375,0.0
FFC,75,4,0.1358996525222468,0.0
FFC,76,4,0.136232523625125,0.0
FFC,77,4,0.13583338154002747,0.0
FFC,78,4,0.13634967282906063,0.0
FFC,79,4,0.13639140257003085,0.0
FFC,80,4,0.1352003089044529,0.0
FFC,81,4,0.13293183858174956,0.0
FFC,82,4,0.13490084229857044,0.0
FFC,83,4,0.13669825848660622,0.0
FFC,84,4,0.13447338535019412,0.0
FFC,85,4,0.13697224130357416,0.0
FFC,86,4,0.13551665635296917,0.0
FFC,5,5,0.1349536517253502,0.0
FFC,6,5,0.08068990959085313,0.0
FFC,7,5,0.07107306914526408,0.0
FFC,8,5,0.07904062198346659,0.0
FFC,9,5,0.08697211437696821,0.0
FFC,10,5,0.09657475746067075,0.0
FFC,11,5,0.10444397291719228,0.0
FFC,12,5,0.1053865798853083,0.0
FFC,13,5,0.11621439303452788,0.0
FFC,14,5,0.1175203025344213,0.0
FFC,15,5,0.12309025590177099,0.0
FFC,16,5,0.12309337449401107,0.0
FFC,17,5,0.12742711300951456,0.0
FFC,18,5,0.12422297375256719,0.0
FFC,19,5,0.12818105909419358,0.0
FFC,20,5,0.12628756197875793,0.0
FFC,21,5,0.1289996895923846,0.0
FFC,22,5,0.1298423686976783,0.0
FFC,23,5,0.12967448201020224,0.0
FFC,24,5,0.12809502557455832,0.0
FFC,25,5,0.13057724740790017,0.0
FFC,26,5,0.13390114686290594,0.0
FFC,27,5,0.13381713155652533,0.0
FFC,28,5,0.1319682496288982,0.0
FFC,29,5,0.13310999581226055,0.0
FFC,30,5,0.1334986805296016,0.0
FFC,31,5,0.13359225631793192,0.0
FFC,32,5,0.13682849868397762,0.0
FFC,33,5,0.13317419359422422,0.0
FFC,34,5,0.13421946610875,0.0
FFC,35,5,0.1386779902069635,0.0
FFC,36,5,0.1311942206017976,0.0
FFC,37,5,0.13491231298198686,0.0
FFC,38,5,0.1363814451144924,0.0
FFC,39,5,0.13517020726326118,0.0
FFC,40,5,0.13413150586490352,0.0
FFC,41,5,0.1364507099534014,0.0
FFC,42,5,0.13440353657404924,0.0
FFC,43,5,0.13929316187183996,0.0
FFC,44,5,0.1337653595304345,0.0
FFC,45,5,0.13645314418581633,0.0
FFC,46,5,0.13282445701417842,0.0
FFC,47,5,0.13558595406842436,0.0
FFC,48,5,0.13486217102446066,0.0
FFC,49,5,0.13218228547431463,0.0
FFC,50,5,0.1362117945983952,0.0
FFC,51,5,0.13273044973511045,0.0
FFC,52,5,0.13734924393022288,0.0
FFC,53,5,0.13415614739879567,0.0
FFC,54,5,0.13714068420099365,0.0
FFC,55,5,0.13383175328675204,0.0
FFC,56,5,0.13296721185660096,0.0
FFC,57,5,0.13406734801852874,0.0
FFC,58,5,0.13562776929417533,0.0
FFC,59,5,0.13700662682490133,0.0
FFC,60,5,0.13618097478081434,0.0
FFC,61,5,0.13416682974007935,0.0
FFC,62,5,0.1354620973898293,0.0
FFC,63,5,0.13531313968602568,0.0
FFC,64,5,0.13311135480259004,0.0
FFC,65,5,0.13338824378286337,0.0
FFC,66,5,0.13511841010089068,0.0
FFC,67,5,0.1365937647755897,0.0
FFC,68,5,0.13629371404135948,0.0
FFC,69,5,0.1342763479688304,0.0
FFC,70,5,0.13298144082820174,0.0
FFC,71,5,0.13613933087169958,0.0
FFC,72,5,0.13457298968374462,0.0
FFC,73,5,0.13354392507246748,0.0
FFC,74,5,0.13337632772967217,0.0
FFC,75,5,0.1359394941223368,0.0
FFC,76,5,0.13618696884763948,0.0
FFC,77,5,0.13585457907236714,0.0
FFC,78,5,0.1364326094916066,0.0
FFC,79,5,0.1365422389780698,0.0
FFC,80,5,0.13520695280254613,0.0
FFC,81,5,0.1329341083393782,0.0
FFC,82,5,0.13508095009291263,0.0
FFC,83,5,0.13662087792627595,0.0
FFC,84,5,0.13449673816709093,0.0
FFC,85,5,0.1370415646388741,0.0
FFC,86,5,0.13565499571543685,0.0
FFC,6,6,0.12937512788479247,0.0
FFC,7,6,0.07292011484616695,0.0
FFC,8,6,0.07305551426286418,0.0
FFC,9,6,0.08168807773694253,0.0
FFC,10,6,0.08772674662629094,0.0
FFC,11,6,0.09783913012820206,0.0
FFC,12,6,0.10126742214311187,0.0
FFC,13,6,0.11334784353106907,0.0
FFC,14,6,0.11606303915408664,0.0
FFC,15,6,0.12211303212753812,0.0
FFC,16,6,0.12197909238929877,0.0
FFC,17,6,0.12641764721074777,0.0
FFC,18,6,0.12344723909837926,0.0
