roi,epoch,experiment,rho,p_value
LO3,23,random_target_e10_l10,0.05919349815827715,0.0
V1,24,random_target_e10_l10,0.00285455734356973,0.04364686138882422
PIT,24,random_target_e10_l10,0.06202937113972852,0.0
V2,24,random_target_e10_l10,-0.0005817904443167082,0.6809396514263539
LO2,24,random_target_e10_l10,0.10083590213080032,0.0
LO1,24,random_target_e10_l10,0.04304990094095893,1.6402844854328835e-203
V3,24,random_target_e10_l10,-0.0036068757808361976,0.010797881593641246
FFC,24,random_target_e10_l10,0.09007034112095813,0.0
LO3,24,random_target_e10_l10,0.06920049309136077,0.0
V1,25,random_target_e10_l10,0.0008282575256494104,0.5582974490297115
PIT,25,random_target_e10_l10,0.0727751897780068,0.0
V2,25,random_target_e10_l10,-0.0024866321839660905,0.07884396087580955
LO2,25,random_target_e10_l10,0.11840396122894321,0.0
LO1,25,random_target_e10_l10,0.05184582883128397,2.4734267133819235e-294
V3,25,random_target_e10_l10,-0.004790403900614567,0.0007101145504650003
FFC,25,random_target_e10_l10,0.10516702703007978,0.0
LO3,25,random_target_e10_l10,0.08213042729419635,0.0
V1,26,random_target_e10_l10,0.002912983731372635,0.03951727241481722
PIT,26,random_target_e10_l10,0.07981425200131088,0.0
V2,26,random_target_e10_l10,-0.00042219425930757,0.765408279424416
LO2,26,random_target_e10_l10,0.1281134180553286,0.0
LO1,26,random_target_e10_l10,0.058337294323783276,0.0
V3,26,random_target_e10_l10,-0.002743198677954967,0.052530194486899176
FFC,26,random_target_e10_l10,0.11541521601164055,0.0
LO3,26,random_target_e10_l10,0.08999036187610338,0.0
V1,27,random_target_e10_l10,0.004347311990148951,0.0021228576472512002
PIT,27,random_target_e10_l10,0.08332571798626398,0.0
V2,27,random_target_e10_l10,0.0007626130056093594,0.589902127700231
LO2,27,random_target_e10_l10,0.13307808446057093,0.0
LO1,27,random_target_e10_l10,0.06164112842630982,0.0
V3,27,random_target_e10_l10,-0.0016698883622167807,0.2379219865927911
FFC,27,random_target_e10_l10,0.1205739237573728,0.0
LO3,27,random_target_e10_l10,0.09407630102828311,0.0
V1,28,random_target_e10_l10,0.004444786027664448,0.0016815707021387736
PIT,28,random_target_e10_l10,0.08409565016848261,0.0
V2,28,random_target_e10_l10,0.0003852039010160081,0.7854348769553314
LO2,28,random_target_e10_l10,0.13476092523578903,0.0
LO1,28,random_target_e10_l10,0.06271701823037165,0.0
