epoch,roi,rho,p_value
1,VVC,-0.04299324009069322,5.562442746925654e-203
1,V4,-0.02127778160396332,4.027417296673543e-51
1,V2,-0.009652444175413655,8.975850330651888e-12
1,VMV2,-0.003679274518176022,0.009313113603527372
1,LO2,0.13077391440348216,0.0
1,FFC,0.11625992263929576,0.0
1,LO1,0.02946154769756628,2.489562292281362e-96
1,V1,-0.010400003469882976,1.9759170739502276e-13
1,VMV3,-0.05662577851832551,0.0
1,PIT,0.090044402037732,0.0
1,V3,-0.023381260399123978,2.345413537485991e-61
1,VMV1,-0.00479331399349847,0.0007048113158068639
1,LO3,0.06361831733039838,0.0
1,V8,-0.020450933846010325,2.323282002494104e-47
2,VVC,-0.022727173603207532,4.522368970589377e-58
2,V4,-0.02965731666119669,1.370350478017393e-97
2,V2,-0.030348274191767357,4.224115192246278e-102
2,VMV2,0.018056571147229576,2.6538042042967457e-37
2,LO2,0.05549031412762575,0.0
2,FFC,0.06988492302657885,0.0
2,LO1,-0.004149290510623584,0.0033621311182517456
2,V1,-0.02933511174320104,1.603271016117262e-95
2,VMV3,-0.03974531017600571,9.48276560354822e-174
2,PIT,0.04445331558940612,7.172192606726037e-217
2,V3,-0.033551602308441696,2.278844312267711e-124
2,VMV1,0.0072892322963516755,2.5807606241364563e-07
2,LO3,0.02941007970072394,5.31878192351476e-96
2,V8,-0.025476635850333853,1.6688428291840214e-72
3,VVC,0.00690153872357028,1.0731366116149615e-06
3,V4,-0.01771278258559155,5.839052654557468e-36
3,V2,-0.027709378468238594,1.9804192732360998e-85
3,VMV2,0.03795607090850934,1.256418968419281e-158
3,LO2,0.044033468901246584,7.892678390163285e-213
3,FFC,0.0606073267174547,0.0
3,LO1,0.005227590708734203,0.0002202053540528083
3,V1,-0.028728017567604146,1.0980609666474154e-91
3,VMV3,-0.014508857634541744,1.1273164729998072e-24
3,PIT,0.03550722399910396,4.647598434009778e-139
3,V3,-0.027346615977124192,2.9537634762615924e-83
3,VMV1,0.016744808037064334,2.5659095995022847e-32
3,LO3,0.03422853916569196,2.3263665745214112e-129
3,V8,-0.01692320136614622,5.663209579849278e-33
4,VVC,0.022807428685165988,1.8082974571267075e-58
4,V4,-0.009976493136278039,1.7753992880803254e-12
4,V2,-0.022924332473240282,4.730287955221985e-59
4,VMV2,0.04778500751607609,2.6360718295166616e-250
4,LO2,0.03481539366815994,9.103864767229931e-134
4,FFC,0.053346685613424503,0.0
4,LO1,0.00829639952679526,4.5295794735137486e-09
4,V1,-0.024160481339573384,2.166110207009453e-65
4,VMV3,3.481192122208561e-05,0.980371328811861
4,PIT,0.02872522836863492,1.1430469511721635e-91
4,V3,-0.021037633599690526,5.159646154208082e-50
4,VMV1,0.021031954746646958,5.478486002219792e-50
4,LO3,0.0342766331436252,1.0192806878266522e-129
4,V8,-0.011036538816847657,6.174721988948637e-15
5,VVC,0.027809621577065867,4.910013902411378e-86
5,V4,-0.004907112807676961,0.0005240945048332507
5,V2,-0.019630393597056234,8.961239864320792e-44
5,VMV2,0.05038216426021862,4.7591139224552096e-278
5,LO2,0.03659664383886536,1.3274187187377028e-147
5,FFC,0.05112343185883918,3.082713700677342e-286
5,LO1,0.012531403285905206,8.224506295573581e-19
5,V1,-0.0207680602251901,8.731098279135632e-49
5,VMV3,0.007250538350163975,2.984942122358113e-07
5,PIT,0.027725483201701557,1.583428244879004e-85
5,V3,-0.016966765384551486,3.9064281149690895e-33
5,VMV1,0.021244382762065066,5.751923234552923e-51
5,LO3,0.03682138209397651,2.1295771773261873e-149
5,V8,-0.008310711652060664,4.261530302249881e-09
6,VVC,0.02544201361724547,2.596214738211842e-72
6,V4,-0.002113564941578898,0.13523663741193426
6,V2,-0.01871310816022051,6.15523167108831e-40
6,VMV2,0.04729257832217181,3.2745611526389125e-245
6,LO2,0.047731945225207295,9.384953063545971e-250
6,FFC,0.05326897601355894,0.0
6,LO1,0.019297890380226296,2.3130499986969034e-42
6,V1,-0.019628618914115024,9.119412495267159e-44
6,VMV3,0.010145871428198354,7.456453175040199e-13
6,PIT,0.031504320647581914,7.021573420782585e-110
6,V3,-0.015759415738246452,8.131531250539471e-29
6,VMV1,0.0183378366085891,2.0256768948982182e-38
6,LO3,0.04264249192449469,1.0296864971811298e-199
6,V8,-0.008033939228787356,1.3620769711769461e-08
7,VVC,0.01976559540702715,2.352155669358342e-44
7,V4,-0.002159076649863184,0.12702676043084107
7,V2,-0.018623201391750097,1.4306458808278691e-39
7,VMV2,0.043416064923349304,5.898614375562768e-207
7,LO2,0.06049440718862649,0.0
7,FFC,0.05948918219759079,0.0
7,LO1,0.02512735412386479,1.4019074221620656e-70
7,V1,-0.0190425332487263,2.705341015750832e-41
7,VMV3,0.008514904266681772,1.7655319167496675e-09
7,PIT,0.03799093701030611,6.473071016874159e-159
7,V3,-0.015945679984635922,1.8384256598931376e-29
7,VMV1,0.01593776486072395,1.95901459930786e-29
7,LO3,0.049599170406011625,1.5729659849282534e-269
7,V8,-0.008513104715090567,1.7794540622124263e-09
8,VVC,0.016412209819443586,4.1143831739711446e-31
8,V4,-0.0024480384070365083,0.08360221217956874
8,V2,-0.01742974065172977,7.119675597436675e-35
8,VMV2,0.0430453065748172,1.8111256169659673e-203
8,LO2,0.06869825254480427,0.0
8,FFC,0.06511936339893903,0.0
8,LO1,0.028416522983622353,9.497496577606981e-90
8,V1,-0.0171787005927315,6.32868497331175e-34
8,VMV3,0.007564227804293007,8.98671660325674e-08
8,PIT,0.04305529758304969,1.4600577733518789e-203
8,V3,-0.015335086863532289,2.2557847855444532e-27
8,VMV1,0.015525783415935971,5.123233166422213e-28
8,LO3,0.054300794005040176,0.0
8,V8,-0.008290294543457458,4.6488470886928e-09
9,VVC,0.013625396529613748,5.960483007375985e-22
9,V4,-0.002403590591408542,0.08936754249834539
9,V2,-0.015282335870948474,3.3883777620357434e-27
9,VMV2,0.041415991880145865,1.688881778286977e-188
9,LO2,0.07750872226896584,0.0
9,FFC,0.07166289341010268,0.0
9,LO1,0.032027216853598384,1.7077953620844616e-113
9,V1,-0.014392862616398246,2.625226567833938e-24
9,VMV3,0.006162497729157919,1.3282713509394118e-05
9,PIT,0.04869140014009116,8.052748944242018e-260
9,V3,-0.014078548261148665,2.5085283137158224e-23
9,VMV1,0.014789823262335484,1.415144553563753e-25
9,LO3,0.05893692565969739,0.0
9,V8,-0.007443301992895288,1.4355739011854388e-07
10,VVC,0.01483707228772,9.944275130567329e-26
10,V4,0.0014733173665722294,0.29775042602120616
10,V2,-0.007321617683390587,2.283597837620233e-07
10,VMV2,0.036365327614701175,9.094555504842707e-146
10,LO2,0.09130763090146365,0.0
10,FFC,0.08278162635115452,0.0
10,LO1,0.03880730141913346,9.809171546246606e-166
10,V1,-0.005813310301018484,3.9806529240825614e-05
10,VMV3,0.00567999770101908,5.960262623486349e-05
10,PIT,0.05822973228566694,0.0
10,V3,-0.008472923895465105,2.1197001435982587e-09
10,VMV1,0.012563274567734189,6.718456461664253e-19
10,LO3,0.06429731838072127,0.0
10,V8,-0.0024956741291244566,0.07776163939650964
11,VVC,0.017091047424589105,1.3471412212655295e-33
11,V4,0.005468080050302702,0.00011127050384152697
11,V2,-0.001900710072419378,0.17916492774242804
11,VMV2,0.0320356008237607,1.4928161948076644e-113
11,LO2,0.10441154764926552,0.0
11,FFC,0.09351199041703614,0.0
11,LO1,0.04666019291208094,9.541092753446704e-239
11,V1,7.86486511643585e-05,0.9556723807553207
11,VMV3,0.005913119565671319,2.926110889623347e-05
11,PIT,0.06681787801729555,0.0
11,V3,-0.004186438839973576,0.003088551495686713
11,VMV1,0.010698219220938311,3.9937543609605516e-14
11,LO3,0.07119751128986058,0.0
11,V8,0.0016003009208699344,0.2580485282649349
12,VVC,0.014755346489469195,1.829385141934637e-25
12,V4,0.005269662767380205,0.00019580571999920898
12,V2,-0.0030174359061603514,0.032959046237251564
12,VMV2,0.031533294526480404,4.4436028939983536e-110
12,LO2,0.11208272279576986,0.0
12,FFC,0.0996822874592796,0.0
12,LO1,0.050793868899950426,1.394280881382192e-282
12,V1,-0.0004274206165167331,0.7625909865885143
12,VMV3,0.004484599380551793,0.0015269478743894095
12,PIT,0.07101341420378249,0.0
12,V3,-0.004654009623583799,0.0010045636249758105
12,VMV1,0.010438590462818198,1.6106052385184352e-13
12,LO3,0.07758135391192138,0.0
12,V8,0.0007556606937942054,0.5932970430323327
