epoch,roi,rho,p_value
1,VVC,-0.04141762755383653,1.6325299196143083e-188
1,V4,-0.01922900342779661,4.504988961963283e-42
1,V2,-0.00516977381799952,0.00025841863280475484
1,VMV2,-0.00039494597776953136,0.7801461185110754
1,LO2,0.1322236792231178,0.0
1,FFC,0.12211093797096774,0.0
1,LO1,0.03235894664703411,8.107730855426443e-116
1,V1,-0.004032462579919731,0.004372472193696589
1,VMV3,-0.057027882164471064,0.0
1,PIT,0.0939235613729948,0.0
1,V3,-0.0212712542080525,4.318140028283943e-51
1,VMV1,-0.0028043044942298364,0.0474848435421975
1,LO3,0.06808271684154217,0.0
1,V8,-0.017318117226789474,1.8881679150833118e-34
2,VVC,-0.023571294670585802,2.5027043501424275e-62
2,V4,-0.025062202391643057,3.1822603000204487e-70
2,V2,-0.02402632240571613,1.0956701370331062e-64
2,VMV2,0.018868954671636493,1.4131132363833185e-40
2,LO2,0.07509110685714596,0.0
2,FFC,0.09302576367350926,0.0
2,LO1,0.009456075470488191,2.337104297001353e-11
2,V1,-0.020839373065606473,4.14595064883418e-49
2,VMV3,-0.043826268339339315,7.5446656961793285e-211
2,PIT,0.061405685067746116,0.0
2,V3,-0.031985273491708655,3.345938249995984e-113
2,VMV1,0.007441746758741222,1.444181441215536e-07
2,LO3,0.047952511608334164,4.743081652894052e-252
2,V8,-0.01986641876155864,8.623859308185151e-45
3,VVC,-0.0024265093070545674,0.08635598904380556
3,V4,-0.018752792189920917,4.236556769769668e-40
3,V2,-0.024988349228820057,8.038744418979577e-70
3,VMV2,0.040263490220094414,2.932815135435148e-178
3,LO2,0.054536204130752094,0.0
3,FFC,0.0739076892067002,0.0
3,LO1,0.01128919696544204,1.4763157531881885e-15
3,V1,-0.02424252606157027,8.002576370629685e-66
3,VMV3,-0.020540804162469097,9.21446790741157e-48
3,PIT,0.04447248451148439,4.679600663435496e-217
3,V3,-0.02858261349973614,8.859710734331171e-91
3,VMV1,0.017859933050682657,1.5662145455465115e-36
3,LO3,0.04585479654757231,1.2198591950896202e-230
3,V8,-0.017250587291001845,3.3962001421272287e-34
4,VVC,0.009827146495309112,3.770769529803217e-12
4,V4,-0.01474410583786637,1.9888600805582317e-25
4,V2,-0.025216094598047037,4.574301135277082e-71
4,VMV2,0.048188747657595205,1.6024061538905622e-254
4,LO2,0.042588291328179,3.2751144992925776e-199
4,FFC,0.06172342753536885,0.0
4,LO1,0.01107571479600661,4.956261533083242e-15
4,V1,-0.025510640597347114,1.0805886358883005e-72
4,VMV3,-0.007438913254041593,1.4599921385830398e-07
4,PIT,0.034025091437187835,7.536317286817683e-128
4,V3,-0.026019845164324876,1.5037433092554418e-75
4,VMV1,0.02109603853843702,2.7822536090246475e-50
4,LO3,0.04241900982089668,1.2039287107097702e-197
4,V8,-0.015532595682726191,4.85738345857516e-28
5,VVC,0.01254700996452319,7.449438574503417e-19
5,V4,-0.013443572501970591,2.065059528609786e-21
5,V2,-0.026376743547419677,1.385421398704214e-77
5,VMV2,0.047950137441028176,5.021519739502575e-252
5,LO2,0.04069810047320461,4.363680044181987e-182
5,FFC,0.05332815829454863,0.0
5,LO1,0.010950077293609242,1.0003318064831791e-14
5,V1,-0.027053840075983295,1.5989536390838437e-81
5,VMV3,-0.0011622451608301213,0.4114078508795581
5,PIT,0.028642295718834605,3.765080663907393e-91
5,V3,-0.025090058222567217,2.2419829954847025e-70
5,VMV1,0.01988367015265684,7.25972283463992e-45
5,LO3,0.03982265928417039,2.0299615989933963e-174
5,V8,-0.01681449419552885,1.4247336201587162e-32
6,VVC,0.013273869905125305,6.48934361458071e-21
6,V4,-0.011673062783617374,1.5808443869850842e-16
6,V2,-0.026395261638485733,1.084449584512549e-77
6,VMV2,0.04729059266809072,3.432319036441244e-245
6,LO2,0.04515534134473791,1.0277513724880269e-223
6,FFC,0.04922619232051063,1.6134301653734466e-265
6,LO1,0.013638396477806864,5.450366933640135e-22
6,V1,-0.026975022725686765,4.648581199631708e-81
6,VMV3,0.004788920751525948,0.0007128316221951204
6,PIT,0.027425467630113703,1.0007734400506023e-83
6,V3,-0.023651073190411383,9.729768426432495e-63
6,VMV1,0.018205282401625618,6.843151283068795e-38
6,LO3,0.04072242185547855,2.6573539417569647e-182
6,V8,-0.017212922560243614,4.707230037720363e-34
7,VVC,0.015289661524329826,3.2025042744684215e-27
7,V4,-0.009964001697339476,1.8916457750746667e-12
7,V2,-0.025799706660520793,2.62410316589515e-74
7,VMV2,0.048633889494075114,3.273407831390133e-259
7,LO2,0.05028015397021093,6.237527021120399e-277
7,FFC,0.05028435232646256,5.611329745663681e-277
