epoch,roi,rho,p_value
1,VVC,-0.02724131235334382,1.2473693608133844e-82
1,V4,-0.008970861764475318,2.293235258485927e-10
1,V2,0.005079966835443433,0.00033030178450607574
1,VMV2,0.009393984139373191,3.1505310551909526e-11
1,LO2,0.13815888340794638,0.0
1,FFC,0.13474157221254593,0.0
1,LO1,0.036129977463378975,6.525697588202878e-144
1,V1,0.006665650602831403,2.464921038392563e-06
1,VMV3,-0.04363044017601126,5.505002038550793e-209
1,PIT,0.09543127244838623,0.0
1,V3,-0.010158055770697859,7.001542884904356e-13
1,VMV1,0.002986123568003361,0.03481947337326155
1,LO3,0.0789498035175617,0.0
1,V8,-0.006243028302729719,1.0227268211306067e-05
2,VVC,-0.018259629994520056,4.158648645594813e-38
2,V4,-0.01844104630003103,7.80362914341629e-39
2,V2,-0.010986759006170552,8.155423649476321e-15
2,VMV2,0.03626845578981237,5.2980916401251696e-145
2,LO2,0.07016060358537136,0.0
2,FFC,0.08689268574783629,0.0
2,LO1,0.01081687120651289,2.0884437120443117e-14
2,V1,-0.008187320587095722,7.186936137194233e-09
2,VMV3,-0.02956547937159189,5.353208799202823e-97
2,PIT,0.052137556077588174,1.2350847301895876e-297
2,V3,-0.018441705346619083,7.756108642111197e-39
2,VMV1,0.01589811188172313,2.691919937228394e-29
2,LO3,0.05237405257024371,2.5206576248609564e-300
2,V8,-0.018464477335615785,6.27951942230127e-39
3,VVC,0.010827491423947238,1.9700379832456204e-14
3,V4,-0.00871275694399891,7.372994028377133e-10
3,V2,-0.010893191850605687,1.3712800910295487e-14
3,VMV2,0.05315894240318997,2.4303023298371e-309
3,LO2,0.05316859757894383,1.87894883823182e-309
3,FFC,0.07644013201109418,0.0
3,LO1,0.014981919836432628,3.348430477488814e-26
3,V1,-0.011116865844557008,3.931197773417565e-15
3,VMV3,-0.005194197867263814,0.00024157382355853972
3,PIT,0.04076334955807921,1.1526049412709716e-182
3,V3,-0.014164607015452435,1.358749842752214e-23
3,VMV1,0.023135089477870435,4.1445779667998674e-60
3,LO3,0.05299405037128999,1.953944149582513e-307
3,V8,-0.009532714809050779,1.612321687950385e-11
4,VVC,0.026767472525413605,7.609810758021467e-80
4,V4,-0.0022245817008968824,0.1158976581661688
4,V2,-0.010419772144686616,1.779612009641412e-13
4,VMV2,0.060497914428319956,0.0
4,LO2,0.044980851213719523,5.283919843973852e-222
4,FFC,0.06965254321160917,0.0
4,LO1,0.01880646482190011,2.5530193507630646e-40
4,V1,-0.012136471849861979,9.671835999049553e-18
4,VMV3,0.009486166869145269,2.0208017257537123e-11
4,PIT,0.03393665332109735,3.3959076011308584e-127
4,V3,-0.01081038366639498,2.1641894846627397e-14
4,VMV1,0.0262131683740753,1.1966582262080029e-76
4,LO3,0.05418507624666025,0.0
4,V8,-0.004599295668961647,0.0011517159878510562
5,VVC,0.03059396117824645,9.924989153544893e-104
5,V4,0.0017547419845869044,0.21491353626767246
5,V2,-0.011805738666467001,7.181125297511028e-17
5,VMV2,0.0586764454452739,0.0
5,LO2,0.05091387910208615,6.546041484676166e-284
5,FFC,0.06972087843245012,0.0
5,LO1,0.02437439038613641,1.6037237935809974e-66
5,V1,-0.01440175611262548,2.461056397330335e-24
5,VMV3,0.01464292182828833,4.208533116102144e-25
5,PIT,0.03645794358414135,1.6794177831836225e-146
5,V3,-0.009546695500965492,1.506280026875637e-11
5,VMV1,0.025334601644375992,1.0188637276528166e-71
5,LO3,0.057758380482991034,0.0
5,V8,-0.0018684150057953852,0.18666612782019765
