epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value
1,143.78493039033418,119.99933801303253,0.45943277793860493,5.526585884030037e-60
2,99.97490943633949,92.6879142213263,0.4515600623530531,9.175875439756424e-58
3,88.45132435722034,86.654473404858,0.45716499231763563,2.44325623984103e-59
4,83.22151570835273,82.24856676976326,0.46358532931515223,3.52999870724519e-61
5,78.9673673888653,78.21191701309456,0.4803803622548845,3.502350489297195e-66
6,75.31319771975362,74.81311528327056,0.51868218575525,1.0843688827216194e-78
7,72.24411393268618,71.88566513483038,0.5653305363966359,2.9495612136829504e-96
8,69.28790564286082,68.70147553333261,0.6127991183462274,2.9105332497302995e-117
9,65.59377652324137,64.57696577462043,0.6491573985257472,6.025617115706269e-136
10,60.70274547460667,59.25833340639568,0.6660703921026887,1.5245832215813513e-145
11,55.93277606277255,55.9730381201644,0.6804222556948742,3.3885064884198134e-154
12,52.900524361311895,53.35625198532863,0.687295430773823,1.6131633191205335e-158
13,50.44373096455497,51.13119003127293,0.6953705527162435,9.397396220624374e-164
14,48.32813423558285,49.32286339438423,0.7003176965099729,4.7754103598422896e-167
15,46.50929133449565,47.664366305862345,0.7077790276653865,3.804830899211576e-172
16,44.92688068590666,46.20840660643182,0.7132215166730977,5.7306788257849106e-176
17,43.447776625361136,44.90768470553403,0.72001892889178,7.194848317255863e-181
18,42.12825620867869,43.854383078727935,0.7225627976697799,9.663444383196988e-183
19,40.93902805571411,42.67637554189777,0.7301781001272117,1.7943073599364412e-188
20,39.78769430229208,41.69863682952375,0.7360705552257908,4.818548858798172e-193
21,38.73637848745753,40.8439217035283,0.7367367149004298,1.4401542888162084e-193
22,37.79878214785927,40.07477672850888,0.7405359236474204,1.3684227246963297e-196
23,36.851037561728354,39.33879818573841,0.7429792894775823,1.4600272757266889e-198
24,36.0414825397185,38.68577128879273,0.7462168296768095,3.286546175732319e-201
25,35.25795401364482,38.07300034412363,0.7489694758649827,1.7129432478293725e-203
26,34.53455787088072,37.53707036392465,0.7498396848255907,3.2047636606289176e-204
27,33.84839626956845,36.99111485349539,0.7532901745552001,3.885770070350011e-207
28,33.20846245889849,36.48753997634129,0.7532103273648293,4.544741946768796e-207
29,32.622803347262646,36.083017338705325,0.7576545843565441,6.771632370311213e-211
30,32.07402198136348,35.64932263621968,0.7544657718458492,3.8441702270071043e-208
31,31.532663593662082,35.28993253549818,0.7570817915483837,2.1308273706462173e-210
32,31.017209874626012,34.92612417231607,0.7592568206531254,2.695657577636827e-212
33,30.545636200838803,34.556515762160494,0.7593728791714015,2.132192645569845e-212
34,30.10670184296584,34.25044627742873,0.7590188342210082,4.358234163895453e-212
35,29.701330158518953,34.02972903172614,0.7611151323238515,6.209430363862358e-214
36,29.289097297224643,33.727487795919345,0.7640294126360303,1.5647713843245543e-216
37,28.871322066499918,33.47537436933148,0.7646647914278054,4.196519270983072e-217
38,28.53989116637,33.21985483959894,0.7607208042568919,1.3861167444964719e-213
39,28.156454339912393,33.01554980198981,0.7607711790550057,1.2510812283525792e-213
40,27.8023524086231,32.73660684027066,0.7693943453570524,2.0450934672963828e-221
41,27.48686248906101,32.619019197495604,0.7635635439947871,4.096198699921291e-216
42,27.16875646913481,32.43080977972041,0.7657256136078978,4.619220487258799e-218
43,26.868882773655603,32.19391422377107,0.765716245149593,4.710360910455763e-218
44,26.543130621025107,32.18140608434519,0.7602020817922007,3.9768037803868746e-213
45,26.290138783547356,31.811696774393155,0.7652211215011134,1.3211365147166542e-217
46,25.974901801661442,31.71611996645427,0.7623228566123016,5.256506236524949e-215
47,25.723135147728748,31.557177274925273,0.7619253471991707,1.1867454156504136e-214
48,25.433961408620394,31.432311822037672,0.7667287785916762,5.670776058626409e-219
49,25.203201130156373,31.290179384347482,0.7677911559107642,6.0804022503254654e-220
50,24.92752771034135,31.238807499079414,0.7662816217841555,1.4462725763346272e-218
51,24.68764534419263,31.133705834657448,0.7656895736797205,4.97977498950756e-218
52,24.49400995312635,30.99659655239042,0.7636298798700125,3.5721548122031915e-216
53,24.23092995323963,30.877361150077693,0.7632873187013965,7.239787832923615e-216
54,23.993257982248746,30.802189263191014,0.7644782708993876,6.178219898026843e-217
55,23.776971674361718,30.715242364788583,0.7644865733349938,6.072811304468039e-217
56,23.58104863787622,30.666238510806256,0.7641126794599994,1.3171956213139649e-216
57,23.33661825438946,30.578275954525775,0.7622284613474548,6.378854763147137e-215
58,23.139207723728507,30.4381192560354,0.7666142501295085,7.208953068640594e-219
59,22.93132759791662,30.357988062484488,0.7654703199837317,7.864280506959518e-218
60,22.735520909697726,30.340792460994827,0.76628277977744,1.442774124499725e-218
61,22.547699460692684,30.212728226382428,0.7607900288446068,1.2039981627768086e-213
62,22.350623471585006,30.21798039009558,0.7625693921284139,3.169619923950487e-215
63,22.16033925508198,30.13016437298685,0.7659950748827532,2.6322882281513523e-218
64,21.988141627853267,30.03263741171821,0.7654587651337743,8.055850553174858e-218
65,21.79948479713165,30.013628332654417,0.7655149298983102,7.166376701623264e-218
66,21.607035169310848,29.95562757839814,0.7662130744343905,1.669171280578816e-218
67,21.452519916101174,29.859738565940226,0.7651560397702393,1.5126514339056242e-217
68,21.264524908937577,29.900493748280226,0.7647360686317753,3.619579301964521e-217
69,21.11992529026359,29.822385092466575,0.7670965856860853,2.6212233739711168e-219
70,20.940537059075943,29.780462707603835,0.7658532227956503,3.539540624014564e-218
71,20.766932675052548,29.700952255923443,0.763235476554392,8.05582246386091e-216
72,20.605605165053603,29.673916653374942,0.765515364668352,7.159888264961512e-218
73,20.45881632754677,29.679379046951208,0.7629411121531994,1.4765788116159468e-215
74,20.319539907566398,29.604357577160577,0.7656913503842182,4.961359679995837e-218
