epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value
1,143.853070457226,119.16347689128054,0.46261516504973965,6.735444763492378e-61
2,99.98510444197298,93.21335951662854,0.4313090925167452,2.5875371947980287e-52
3,88.84850746640869,86.39401978550696,0.44558938209079774,4.0556674606148703e-56
4,83.5853508185812,81.92745558596448,0.4465365746121742,2.2346707801089537e-56
5,79.32226382860516,77.8685719189723,0.4711995950132536,2.0602092612308847e-63
6,75.5690332344034,74.40389361302498,0.5141315271567644,4.037219262123493e-77
7,72.54618757253208,71.77933889989694,0.5671241425797935,5.462321869751109e-97
8,69.86638702646187,69.13976393220175,0.6111786008054844,1.739790922802047e-116
9,66.8346798228425,65.89814387368892,0.6419446722246256,4.884323102916796e-132
10,63.01145831501715,61.799992872206545,0.6539563275400312,1.3174949620570722e-138
11,58.36905815991008,57.045851607349036,0.6587871912499822,2.4673798675891703e-141
12,53.89552213082353,53.7306254897987,0.6684724255155104,5.870809946331525e-147
13,50.9109168013047,51.46705208035464,0.6821103005479765,3.0164061161849225e-155
14,48.67275391259022,49.64325269414575,0.6874340262660936,1.3160750105359054e-158
15,46.75495686623528,47.958740128996624,0.6921680240468258,1.1742400979177029e-161
16,45.094963781721376,46.620748614738,0.700763398510046,2.392792272524571e-167
17,43.63317983104251,45.45362643247151,0.7072167362259284,9.336644159078639e-172
18,42.31812117304498,44.24990851049265,0.7100557553355811,9.823036852250143e-174
19,41.089994636599044,43.21162056264298,0.7162645641663133,3.8186126894411654e-178
20,39.96693238657267,42.3223371136913,0.7230851571530902,3.964240421876009e-183
21,38.921242182935046,41.47610751831729,0.7269311747477554,5.263619982833471e-186
22,37.97016630938839,40.792417831842414,0.7316180668666498,1.4063331443282957e-189
23,37.101785316361614,40.01639276578281,0.7340589202276276,1.807831604275491e-191
24,36.23869257158189,39.3585845989417,0.736996673941583,8.980362408099938e-194
25,35.458469158394514,38.7014968829919,0.7416866261726947,1.6231525641357382e-197
26,34.71916458679368,38.1587430205793,0.7447337287326464,5.427299089178497e-200
27,33.99619345519682,37.6465465693184,0.7431112630876775,1.1408171724087267e-198
28,33.36787136637933,37.167245833254654,0.7454613247585783,1.374610236013084e-200
29,32.7524163993772,36.70321967193435,0.7480935605475761,9.192543779163499e-203
30,32.18194163737205,36.27434999244648,0.7482946040675829,6.254913136785767e-203
31,31.631967745329206,35.886466052650746,0.7495570090497529,5.528278296868675e-204
32,31.101229099685796,35.655571363248875,0.7521508429387117,3.612073785084243e-206
33,30.652346227968167,35.38244407611657,0.752041168015184,4.473905967571358e-206
34,30.189455602968167,35.11928185310153,0.756242100100326,1.1373175729766761e-209
35,29.77269372913646,34.74986361930384,0.7549707948737423,1.4172765945915248e-208
36,29.349029255705858,34.49297731093939,0.7546698838390354,2.569131136048231e-208
37,28.944322929487996,34.27419125045861,0.7546286433922812,2.787159966029467e-208
38,28.550936252456623,34.02301324665217,0.7580943542538351,2.8022965941953057e-211
39,28.225538206232553,33.854668021860704,0.7568295162316233,3.5267841714943497e-210
40,27.84991326160378,33.63376120045699,0.7578505485919277,4.5713847365831396e-211
41,27.49923006517405,33.46348167124374,0.757030484502969,2.3608868424839014e-210
42,27.214902798554903,33.31387015073997,0.7591250518866074,3.5173709819523275e-212
43,26.89061659392888,33.187238176883255,0.7599225413772414,7.010105022887198e-213
44,26.59122156898731,33.014473404014964,0.7581716555311728,2.3992480179439274e-211
45,26.265861252338272,32.8270231004578,0.7590877034678235,3.7927741456121776e-212
46,26.014397977791994,32.71797806123344,0.7570282855698729,2.3712823636804884e-210
47,25.755530116960944,32.63179743224086,0.7604020676504711,2.649718030272073e-213
48,25.46787466434891,32.446017312740096,0.7582072105235343,2.2338181623977215e-211
49,25.204390264283916,32.25887285938579,0.7560311572009057,1.7303469262104495e-209
50,24.955377657988066,32.17416394481343,0.7585936249396366,1.0268162618128724e-211
51,24.702701330845375,32.03532413883104,0.7578715931341438,4.382404861348379e-211
52,24.458905132853754,31.977763644898136,0.7557210741905094,3.2040705003914863e-209
53,24.225584775126872,31.816728223094625,0.7553614692001582,6.53883524953717e-209
54,24.037354572327843,31.779062323807352,0.7570136037199995,2.441871231906781e-210
55,23.80765030456712,31.69304745500259,0.757272325338726,1.4557804724774398e-210
56,23.56774625487605,31.59903681212367,0.7519430144977641,5.417680063375944e-206
57,23.36427441858519,31.49243670932496,0.7518325327413702,6.719453828964154e-206
58,23.15238340277421,31.417490458620186,0.7515131397994054,1.2514570966480716e-205
59,22.9322912210903,31.30310549656989,0.7526669944074826,1.3175059161749095e-206
60,22.748488592639195,31.271378037679263,0.7523905350071466,2.2619846709421203e-206
61,22.561748647293555,31.22266393208372,0.7501391619552557,1.7971335092626492e-204
62,22.370106234775026,31.17004693805842,0.7511421262759378,2.5741369573093475e-205
63,22.176197818111515,31.072653164521107,0.7506293902602837,6.959526926220742e-205
64,21.971799950850638,31.0389620638684,0.7484004872946883,5.106117244443416e-203
65,21.816099029498748,31.02080262958674,0.7479755246617059,1.152221349133301e-202
66,21.63949897216628,30.974696059253333,0.7448084673750262,4.714273924793321e-200
67,21.472186323678393,30.88664750367897,0.7481938670127992,7.586255154219981e-203
68,21.282392348609143,30.75471255265547,0.7437435984891599,3.4908285597596425e-199
69,21.102761007081767,30.821889656024744,0.7439347718931215,2.438627102008589e-199
70,20.94797565005823,30.777450677439653,0.7458144541835952,7.046733517103481e-201
71,20.78988430308503,30.66943433139864,0.743316691932433,7.767908720697611e-199
72,20.638255349156598,30.69905910175808,0.7432461045078563,8.864918909882303e-199
73,20.508497222308637,30.596850158101287,0.7426423008903676,2.7393783322891755e-198
74,20.299337429353074,30.579024889192528,0.7430173360367219,1.3598124431323488e-198
75,20.15798263338464,30.51281789916655,0.7416014655907551,1.9012941768742507e-197
76,19.997172337159554,30.527165133650133,0.7407091460652325,9.934819013348727e-197
77,19.860983624022424,30.5223299627146,0.7404114498205464,1.7221746364193657e-196
78,19.7209102915925,30.475422400795953,0.7385764401518686,5.0297031551616765e-195
79,19.5771764559759,30.43975300024886,0.7364899912626648,2.253489463999084e-193
80,19.443987225561592,30.438776248067782,0.7408041600412927,8.333680271760619e-197
81,19.304445367110404,30.424614100166448,0.7360838951412083,4.703580874160916e-193
82,19.168212869490944,30.44476478534509,0.7355330916640087,1.2733027881024299e-192
83,19.03152858385419,30.4121883455561,0.7375973087543439,3.009127648140598e-194
84,18.891900133888477,30.34117159132141,0.7338401013016809,2.6762803639479132e-191
85,18.741667575783346,30.38487275265857,0.7343019901248489,1.1687020273663539e-191
86,18.610049646647024,30.288300498414436,0.7367759361747785,1.3411518075363904e-193
87,18.50301779009959,30.323784159033337,0.7335041034885037,4.884411583845244e-191
88,18.368766678997684,30.289202463561,0.7329372678660124,1.3449227380057209e-190
89,18.22950823353268,30.267745739847257,0.7331177434186567,9.744606141164768e-191
90,18.119417322639613,30.259165052550934,0.7325712960028375,2.582888224555548e-190
91,18.006625410592456,30.286795400124227,0.7315887993179697,1.481274120835713e-189
92,17.89678382873535,30.244321443757958,0.732579146946477,2.5470107194508785e-190
93,17.781177235442186,30.326032217036296,0.7307989851907662,5.9975380509579035e-189
94,17.674315191041728,30.330539966815085,0.7293754770056995,7.364842650989732e-188
95,17.539858075720453,30.292709919629175,0.7284262903948044,3.886637695261622e-187
96,17.42292869124056,30.30700276833213,0.72930305853037,8.363504554774655e-188
97,17.322289918598376,30.292477570844618,0.7278426241551177,1.0771405559289143e-186
98,17.199688781991888,30.322422333185184,0.7275854827582738,1.6863305385499522e-186
