training_run,epoch,roi,rho,p_value
18,18,va-3,0.08366369681545319,0.0
18,18,LOC,0.2407454406356495,0.0
19,19,va-1,0.06467095920375943,6.596886161495364e-238
19,19,va-2,0.07173685871967111,2.2219836751489824e-292
19,19,va-3,0.08537610441501405,0.0
19,19,LOC,0.24585953195126486,0.0
20,20,va-1,0.0636298451533819,2.3182192993673764e-230
20,20,va-2,0.07155562425768859,6.531481845780247e-291
20,20,va-3,0.08074508195321317,0.0
20,20,LOC,0.226832352490481,0.0
21,21,va-1,0.06714893912330579,2.3088445950676335e-256
21,21,va-2,0.07479473302816662,0.0
21,21,va-3,0.07996506273505978,0.0
21,21,LOC,0.24092518805010232,0.0
22,22,va-1,0.05805796906552863,4.529675617922666e-192
22,22,va-2,0.07104531001675501,8.495623854527011e-287
22,22,va-3,0.07373224356545746,8.57692671893299e-309
22,22,LOC,0.24673209224041126,0.0
23,23,va-1,0.059090915925036534,6.662007468861079e-199
23,23,va-2,0.07142929165616348,6.859288429591376e-290
23,23,va-3,0.07432493427781317,0.0
23,23,LOC,0.23014757446723824,0.0
24,24,va-1,0.07333320847314198,1.786581451204816e-305
24,24,va-2,0.07468169829182528,0.0
24,24,va-3,0.08904407427650439,0.0
24,24,LOC,0.18445304886293665,0.0
25,25,va-1,0.056008642141666384,7.13214360442537e-179
25,25,va-2,0.07251488870328532,1.002206610141635e-298
25,25,va-3,0.0686220662053231,1.1489344945655109e-267
25,25,LOC,0.23182878277820365,0.0
26,26,va-1,0.06773613859002918,7.718206134546908e-261
26,26,va-2,0.07642931438543324,0.0
26,26,va-3,0.07899155018423927,0.0
26,26,LOC,0.21905673273418078,0.0
27,27,va-1,0.0694025336340944,9.36918898506586e-274
27,27,va-2,0.0819354855609036,0.0
27,27,va-3,0.08114816156454896,0.0
27,27,LOC,0.1923937338848561,0.0
28,28,va-1,0.06362294340863067,2.598758877225461e-230
28,28,va-2,0.07691140246837169,0.0
28,28,va-3,0.07552331690652958,0.0
28,28,LOC,0.22448525242809655,0.0
29,29,va-1,0.06716082996860173,1.8756300590633782e-256
29,29,va-2,0.0794514277942724,0.0
29,29,va-3,0.0793101645557355,0.0
29,29,LOC,0.19767224492647753,0.0
30,30,va-1,0.06575086481747255,7.279808646216408e-246
30,30,va-2,0.07865333911797706,0.0
30,30,va-3,0.07731207688678948,0.0
30,30,LOC,0.22279882501861933,0.0
31,31,va-1,0.06612354036203018,1.2169950641571125e-248
31,31,va-2,0.08138034920145906,0.0
31,31,va-3,0.07651230237689002,0.0
31,31,LOC,0.19460942657641495,0.0
32,32,va-1,0.06567812795028459,2.5248999151296026e-245
32,32,va-2,0.08202446934525587,0.0
32,32,va-3,0.0781746726206325,0.0
32,32,LOC,0.20049926302846433,0.0
33,33,va-1,0.06433094141705945,1.982816255417089e-235
33,33,va-2,0.08078656412838305,0.0
33,33,va-3,0.07352857867251524,4.26031121477124e-307
33,33,LOC,0.20911402775645274,0.0
34,34,va-1,0.06631387989853989,4.580980366279759e-250
34,34,va-2,0.08338485151769917,0.0
34,34,va-3,0.07508726880862404,0.0
34,34,LOC,0.20449961585390308,0.0
35,35,va-1,0.05931939941388103,1.9767088997420177e-200
35,35,va-2,0.07725887492737732,0.0
35,35,va-3,0.07167872004868797,6.578993500904545e-292
35,35,LOC,0.1827114787081911,0.0
36,36,va-1,0.06516709899775217,1.5136876039571343e-241
36,36,va-2,0.08051628561396808,0.0
36,36,va-3,0.07373062555301142,8.84759181785164e-309
36,36,LOC,0.21996132982754524,0.0
37,37,va-1,0.06945350623274821,3.7294026422973393e-274
37,37,va-2,0.0811378732701857,0.0
37,37,va-3,0.07770934517206447,0.0
37,37,LOC,0.18384725325684154,0.0
38,38,va-1,0.06325091049718234,1.205088718907605e-227
38,38,va-2,0.07984733735741441,0.0
38,38,va-3,0.06849080863495365,1.1952162780882127e-266
38,38,LOC,0.1763489151498196,0.0
39,39,va-1,0.06697854130515041,4.517402004270773e-255
39,39,va-2,0.08328017903315585,0.0
39,39,va-3,0.07356999167782222,1.927257614101652e-307
39,39,LOC,0.17840914094944618,0.0
40,40,va-1,0.06980058084956774,6.913891639237956e-277
40,40,va-2,0.08437014805064624,0.0
40,40,va-3,0.07575953937516682,0.0
40,40,LOC,0.1560944049969648,0.0
41,41,va-1,0.06675291050248093,2.290463261878835e-253
41,41,va-2,0.08483272889897364,0.0
41,41,va-3,0.07696096772287074,0.0
41,41,LOC,0.18470769260574435,0.0
42,42,va-1,0.07431046779345479,0.0
42,42,va-2,0.08429099767433679,0.0
42,42,va-3,0.07775173715670655,0.0
42,42,LOC,0.15218971894005026,0.0
43,43,va-1,0.0679680100060925,1.286124287661839e-262
43,43,va-2,0.08390943814399451,0.0
43,43,va-3,0.0728036359189393,4.249099159701698e-301
43,43,LOC,0.16623377838384104,0.0
44,44,va-1,0.07008640687377721,3.798398282008403e-279
44,44,va-2,0.08455603647699858,0.0
44,44,va-3,0.07735137947806095,0.0
44,44,LOC,0.1656628629804552,0.0
45,45,va-1,0.06140812193630807,1.1372308816658131e-214
45,45,va-2,0.08132975784561687,0.0
45,45,va-3,0.07504115947171507,0.0
45,45,LOC,0.17447363169701507,0.0
46,46,va-1,0.06540467887026157,2.675577598552604e-243
46,46,va-2,0.07187502259409441,1.67837597181492e-293
46,46,va-3,0.0825163278423484,0.0
46,46,LOC,0.18476356000965605,0.0
47,47,va-1,0.06842339512723972,3.972734879365092e-266
47,47,va-2,0.08479273410751027,0.0
47,47,va-3,0.07552901327571689,0.0
47,47,LOC,0.17004991127523586,0.0
48,48,va-1,0.06583186193775961,1.819487041861477e-246
48,48,va-2,0.08145228065173156,0.0
48,48,va-3,0.07095204870564961,4.762812923316242e-286
48,48,LOC,0.15612750813122328,0.0
49,49,va-1,0.07370510753065947,1.444084230268484e-308
49,49,va-2,0.08651926267283801,0.0
49,49,va-3,0.07484282310768348,0.0
49,49,LOC,0.17125906325969173,0.0
50,50,va-1,0.07391744714659462,2.43699779906444e-310
50,50,va-2,0.08703393472995698,0.0
50,50,va-3,0.07993188111953374,0.0
50,50,LOC,0.1579404718592946,0.0
51,51,va-1,0.07083868586729108,3.8597930260377784e-285
51,51,va-2,0.08241198968418673,0.0
51,51,va-3,0.07363805687018168,5.227593328165679e-308
51,51,LOC,0.15714400652729654,0.0
52,52,va-1,0.06837432049413285,9.517033115157431e-266
52,52,va-2,0.08675493604210234,0.0
52,52,va-3,0.07383869617065482,1.10895967359995e-309
52,52,LOC,0.16517083061318052,0.0
53,53,va-1,0.06478741256534598,9.281978538269727e-239
53,53,va-2,0.08305879240208619,0.0
53,53,va-3,0.07193052981789652,5.937082368493082e-294
53,53,LOC,0.16922520066059385,0.0
54,54,va-1,0.07729062678426281,0.0
54,54,va-2,0.08575726253919962,0.0
54,54,va-3,0.07929988404204384,0.0
54,54,LOC,0.16110684674467624,0.0
55,55,va-1,0.08056380911241198,0.0
55,55,va-2,0.08649548936121455,0.0
55,55,va-3,0.07921603584773033,0.0
55,55,LOC,0.1349724468630222,0.0
57,57,va-1,0.06526399677268616,2.924152374197932e-242
57,57,va-2,0.0669203489914838,1.2450529991567223e-254
57,57,va-3,0.07623199601287291,0.0
57,57,LOC,0.14787987235940145,0.0
58,58,va-1,0.07520116737322177,0.0
58,58,va-2,0.0860457929135303,0.0
58,58,va-3,0.07477013129878962,0.0
58,58,LOC,0.1302201201444905,0.0
59,59,va-1,0.0658006371122552,3.105829005040107e-246
59,59,va-2,0.07887742427740331,0.0
59,59,va-3,0.06648697898504319,2.3017611160924493e-251
59,59,LOC,0.1667143907991426,0.0
60,60,va-1,0.0701379343924545,1.4830794399653844e-279
60,60,va-2,0.08107738552760158,0.0
60,60,va-3,0.0732479599639636,9.092014527360459e-305
