epoch,roi,rho,p_value
47,va-1,0.059186560038596056,1.530524668259065e-199
47,va-2,0.054386475517291394,9.163076524437813e-169
47,va-3,0.06478461279766856,9.730500046636383e-239
47,LOC,0.297811865080818,0.0
48,va-1,0.05925100372135707,5.673670326650595e-200
48,va-2,0.05434752810466351,1.5888552367651918e-168
48,va-3,0.06495860153875227,5.162084604816198e-240
48,LOC,0.29292565821370586,0.0
49,va-1,0.060703879494210085,8.174238399487981e-210
49,va-2,0.05489986347993835,6.237624948142946e-172
49,va-3,0.06582118164842057,2.1847111624648858e-246
49,LOC,0.2995224710673126,0.0
50,va-1,0.06111077968271996,1.2979290726228263e-212
50,va-2,0.05528847633294054,2.38705685113643e-174
50,va-3,0.06568352483250939,2.3024439270404278e-245
50,LOC,0.28902305230415576,0.0
51,va-1,0.06093276583988014,2.188660624399707e-211
51,va-2,0.054799610371298275,2.60503346052378e-171
51,va-3,0.06565615643780605,3.675193989676609e-245
51,LOC,0.2883854412483485,0.0
52,va-1,0.06127322936893328,9.782639997321735e-214
52,va-2,0.05504023762742205,8.39211930554981e-173
52,va-3,0.06545980079248061,1.046808558322273e-243
52,LOC,0.2922246664624243,0.0
53,va-1,0.06099127837922447,8.6554289982509e-212
53,va-2,0.055463144317521945,1.9313501367989517e-175
53,va-3,0.06611708461949739,1.3599580563696722e-248
53,LOC,0.293082065157131,0.0
54,va-1,0.06122975500711534,1.9553712379333423e-213
54,va-2,0.05501389545058287,1.2232596910924944e-172
54,va-3,0.06556041188324009,1.884066757706985e-244
54,LOC,0.2875234079927455,0.0
55,va-1,0.06165559269807301,2.1670353703870255e-216
55,va-2,0.055036372726000704,8.869246376237632e-173
55,va-3,0.06541786159427698,2.1378686077062159e-243
55,LOC,0.28409224894216584,0.0
56,va-1,0.062483180153105715,3.4150387395500464e-222
56,va-2,0.0564554449957186,1.0387474967135667e-181
56,va-3,0.06697967179698294,4.429261382313959e-255
56,LOC,0.29098060510746904,0.0
57,va-1,0.06291958892938901,2.768609800279173e-225
57,va-2,0.05597191294545868,1.2173175343646942e-178
57,va-3,0.06705172160525882,1.2607796156884663e-255
57,LOC,0.290132875880553,0.0
58,va-1,0.06155977832577635,1.0060618445158815e-215
58,va-2,0.05516109240615336,1.4861779859109083e-173
58,va-3,0.06625453736346995,1.274873456751965e-249
58,LOC,0.29305565514337584,0.0
59,va-1,0.06239889712390331,1.3424208532269146e-221
59,va-2,0.05576377042730526,2.502013451820581e-177
59,va-3,0.06645592477177203,3.938541097659412e-251
59,LOC,0.28705435526692763,0.0
60,va-1,0.06167892379368968,1.490562968297301e-216
60,va-2,0.055040724286008216,8.333887098613335e-173
60,va-3,0.06584543371831686,1.4420386366226698e-246
60,LOC,0.2906987399249802,0.0
61,va-1,0.061471650635749546,4.1207113970815446e-215
61,va-2,0.05510803059506797,3.1794792494940966e-173
61,va-3,0.06598409751702417,1.3370185603933628e-247
61,LOC,0.29054819994800185,0.0
62,va-1,0.062171797838839235,5.317695643527641e-220
62,va-2,0.054702106809135925,1.0434922680208576e-170
62,va-3,0.0656707638113405,2.8634836278990474e-245
62,LOC,0.2903792471474847,0.0
63,va-1,0.06177545956623352,3.1641793565576295e-217
63,va-2,0.05499144300515577,1.6863170009406825e-172
63,va-3,0.06577221904191367,5.051670229391714e-246
63,LOC,0.29200517588787234,0.0
64,va-1,0.06201379878807275,6.822185030644008e-219
64,va-2,0.055234310222294594,5.197566770863611e-174
64,va-3,0.06612486899952713,1.1894899436188247e-248
64,LOC,0.28489495999529196,0.0
65,va-1,0.06258000709818151,7.070129484081705e-223
65,va-2,0.05552389795401677,8.039457824653454e-176
65,va-3,0.06721315264074132,7.513537131108181e-257
65,LOC,0.288524928511979,0.0
66,va-1,0.06290578495850846,3.4703105588335074e-225
66,va-2,0.05543128484500443,3.057032860692839e-175
66,va-3,0.06703115575564428,1.8049345077240344e-255
66,LOC,0.2888043590408673,0.0
67,va-1,0.062148045157240775,7.80737642624813e-220
67,va-2,0.05530229578913275,1.957001851463943e-174
67,va-3,0.06604811269266622,4.452267154887226e-248
67,LOC,0.28953351601780436,0.0
68,va-1,0.063381207872513,1.409306036319987e-228
68,va-2,0.05613712184672,1.0960543954433057e-179
68,va-3,0.06733368147337211,9.108451901465272e-258
68,LOC,0.29046211115841,0.0
69,va-1,0.06228010158709977,9.213958874792773e-221
69,va-2,0.0551625497703486,1.4554420107568971e-173
69,va-3,0.06640840989272219,8.954645694982628e-251
69,LOC,0.2908082508700908,0.0
70,va-1,0.06332420603509831,3.6055822424099605e-228
70,va-2,0.055667349758238345,1.0111402967386812e-176
70,va-3,0.06699488850798303,3.397284648663908e-255
70,LOC,0.28711771503588,0.0
71,va-1,0.06263517499224802,2.879087053440428e-223
71,va-2,0.0550085332057734,1.3207518129062887e-172
71,va-3,0.06633301465195299,3.292630662660979e-250
71,LOC,0.2912745824398268,0.0
72,va-1,0.0615107007328018,2.206707979693807e-215
72,va-2,0.054137523130530205,3.0693519468361908e-167
72,va-3,0.06606443242772174,3.363261459295749e-248
72,LOC,0.29274024571057017,0.0
73,va-1,0.06274241505714041,5.009731613745632e-224
73,va-2,0.055258246476624584,3.685572946330628e-174
73,va-3,0.06607292352287525,2.9064701268391356e-248
73,LOC,0.2866958318586475,0.0
74,va-1,0.06316737820105257,4.758918190446504e-227
74,va-2,0.05531222094184241,1.6967488157886596e-174
74,va-3,0.06728111153224538,2.2874181530402166e-257
74,LOC,0.2871908736977085,0.0
75,va-1,0.061911555776245526,3.544386924324747e-218
75,va-2,0.05437479434102538,1.0808204467526733e-168
75,va-3,0.06554526315558803,2.4395402857973135e-244
75,LOC,0.2930463972985428,0.0
76,va-1,0.06164482089775362,2.5755943434694794e-216
76,va-2,0.054456132729796075,3.420470707473772e-169
76,va-3,0.06546568632648282,9.46959632412244e-244
76,LOC,0.28931109243155345,0.0
