epoch,roi,rho,p_value
1,va-1,0.01931010672053998,8.775170018689921e-23
1,va-2,0.02435181454276051,2.9206578693624505e-35
1,va-3,0.06808021345390322,1.7643743735022653e-263
1,LOC,0.060485868029395276,2.537949726863502e-208
2,va-1,-0.028637051716497698,4.208654715107918e-48
2,va-2,-0.012677122029501883,1.1193782296689267e-10
2,va-3,0.019905520911978374,4.144109379392399e-24
2,LOC,0.013862242278169758,1.7522223564591056e-12
3,va-1,-0.012796657587785467,7.47995817001293e-11
3,va-2,0.0012862757275960857,0.5128497071624375
3,va-3,0.03447621519482127,6.454192791805922e-69
3,LOC,0.08644732441756658,0.0
4,va-1,-0.002150090031041473,0.2740064361617778
4,va-2,0.009359907829917948,1.916285637291511e-06
4,va-3,0.03916178739549815,2.1641666902102045e-88
4,LOC,0.1251584787436557,0.0
5,va-1,0.01170286326042235,2.614088018285481e-09
5,va-2,0.01943424666005331,4.6783268197522927e-23
5,va-3,0.043846764595707945,2.457439302386013e-110
5,LOC,0.1589057624778513,0.0
6,va-1,0.029688128177948348,1.445544717612768e-51
6,va-2,0.03137133813787982,2.2608138900315836e-57
6,va-3,0.04981942558171404,6.639836783280528e-142
6,LOC,0.18917443904108877,0.0
7,va-1,0.04275378184484674,5.3883170250576366e-105
7,va-2,0.039213672959784555,1.275858143569023e-88
7,va-3,0.05548745960399545,1.3601000390446656e-175
7,LOC,0.19869413296420593,0.0
8,va-1,0.051219993417468024,6.854058608121439e-150
8,va-2,0.045237991105843346,2.4952605526979177e-117
8,va-3,0.05887820483287381,1.7397514791954744e-197
8,LOC,0.19895441742984693,0.0
9,va-1,0.05819768336252348,5.482781383904146e-193
9,va-2,0.05098048655395149,1.649577829005003e-148
9,va-3,0.061676725886194696,1.5440549987809475e-216
9,LOC,0.19693315043093199,0.0
10,va-1,0.06678857974625438,1.2324394213051471e-253
10,va-2,0.057689906833122,1.151807382165782e-189
10,va-3,0.066520400063433,1.2908712030023614e-251
10,LOC,0.1969165116020691,0.0
11,va-1,0.0689307911986519,4.572592940167988e-270
11,va-2,0.059607416991011124,2.3003224653120883e-202
11,va-3,0.06646361098106832,3.448322038442415e-251
11,LOC,0.20289620091171415,0.0
12,va-1,0.06567540499055417,2.6451629880736052e-245
12,va-2,0.05674782397930399,1.4059620359464604e-183
12,va-3,0.06252749639753395,1.661444356921493e-222
12,LOC,0.2150785310929191,0.0
13,va-1,0.0628821437339953,5.109039387719619e-225
13,va-2,0.0550578924093456,6.518532472515414e-173
13,va-3,0.06218183804587152,4.520702885811433e-220
13,LOC,0.2323242160038034,0.0
14,va-1,0.05946555545488415,2.0683431615996034e-201
14,va-2,0.052728653496478574,9.662725983517526e-159
14,va-3,0.0609049079075584,3.4029724329683765e-211
14,LOC,0.24428117116942835,0.0
15,va-1,0.05820974942733222,4.567694052328283e-193
15,va-2,0.05300485547321047,2.1717440307243296e-160
15,va-3,0.061146902957651655,7.308676775969188e-213
15,LOC,0.2521112691079469,0.0
16,va-1,0.05755752733507029,8.37013575551999e-189
16,va-2,0.05222139662891542,9.767075206652378e-156
16,va-3,0.061152657310250644,6.669515647133677e-213
16,LOC,0.259862785295106,0.0
17,va-1,0.05606947059582752,2.9400614613986695e-179
17,va-2,0.05126725287662244,3.6525705872360267e-150
17,va-3,0.06074386330140078,4.347292532016134e-210
17,LOC,0.26446795055005917,0.0
18,va-1,0.05596726452290695,1.3025008176354071e-178
18,va-2,0.051317838238585954,1.8609400187727094e-150
18,va-3,0.060718588249533474,6.480202748106332e-210
18,LOC,0.2671292377728367,0.0
19,va-1,0.054994296866123005,1.6189039065917593e-172
19,va-2,0.05113331900317148,2.170785127097784e-149
19,va-3,0.06057678501291606,6.066212942450486e-209
19,LOC,0.2757220202990749,0.0
20,va-1,0.05449826530653523,1.883509199883881e-169
20,va-2,0.050472857286186314,1.3299007806853457e-145
20,va-3,0.06036802855792674,1.6170032030841192e-207
20,LOC,0.27934811701750606,0.0
21,va-1,0.055191795640807194,9.56779203583768e-174
21,va-2,0.050721652927789566,5.046317423666034e-147
21,va-3,0.061030443607535435,4.649412126849296e-212
21,LOC,0.28145153905022224,0.0
22,va-1,0.05599157672970654,9.143620295097865e-179
22,va-2,0.05146123605201086,2.7412625099722423e-151
22,va-3,0.06198727164197488,1.046419809260199e-218
22,LOC,0.27964791278621576,0.0
23,va-1,0.058357839319078814,4.8421086050654914e-194
23,va-2,0.053000576702831405,2.3036098128193116e-160
23,va-3,0.0630452104495785,3.5355602618812654e-226
23,LOC,0.2763589445906197,0.0
24,va-1,0.05493253034276454,3.912833385083029e-172
24,va-2,0.05123096524550916,5.922555922966559e-150
24,va-3,0.060445120800526296,4.816726635639108e-208
24,LOC,0.2828747746713499,0.0
25,va-1,0.05833102456406464,7.272804071335082e-194
25,va-2,0.05371824473617256,1.0953447878235358e-164
25,va-3,0.06443490887723617,3.475325677735051e-236
25,LOC,0.28739246780246575,0.0
26,va-1,0.057106483500365006,6.960096309011334e-186
26,va-2,0.0536769598250221,1.9489942825432683e-164
26,va-3,0.06357184080813902,6.052513789398547e-230
26,LOC,0.2880175022629097,0.0
27,va-1,0.056397498055861583,2.430450730978731e-181
27,va-2,0.052231803090561246,8.48039196197779e-156
27,va-3,0.062007481289146536,7.553969944834774e-219
27,LOC,0.29047648756639777,0.0
28,va-1,0.057762761050306886,3.8591533027532193e-190
28,va-2,0.05402962329124134,1.399030733364471e-166
28,va-3,0.06314765317170243,6.580295625593166e-227
28,LOC,0.28802986721237456,0.0
29,va-1,0.05899504929266009,2.9027815259614463e-198
29,va-2,0.05516059004001353,1.496922499495566e-173
29,va-3,0.06453438619816154,6.549683247347512e-237
29,LOC,0.2822500555339671,0.0
30,va-1,0.05993171828333655,1.4883537012618138e-204
30,va-2,0.05584057897775438,8.210723504922394e-178
30,va-3,0.06535068542391548,6.703308396771251e-243
30,LOC,0.28674439957835934,0.0
31,va-1,0.058822744211167385,4.065089890957133e-197
31,va-2,0.05481174873752738,2.19134058448369e-171
31,va-3,0.0637182983856198,5.35613017876635e-231
31,LOC,0.2919028191842365,0.0
32,va-1,0.05839241331077087,2.865005931479915e-194
32,va-2,0.05412866742048573,3.476680166383639e-167
32,va-3,0.06342649540789619,6.677483602144213e-229
32,LOC,0.2933177179378762,0.0
33,va-1,0.05894655820573131,6.10577598022236e-198
33,va-2,0.05484181201287946,1.427671305456878e-171
33,va-3,0.06308704155474701,1.7800399686279262e-226
33,LOC,0.28851250681307866,0.0
34,va-1,0.059262808955806504,4.730029506607601e-200
34,va-2,0.05482548225074765,1.801842047088283e-171
34,va-3,0.06345725295554316,4.019435193168749e-229
34,LOC,0.28591912732517594,0.0
35,va-1,0.05831609703320595,9.12043731833055e-194
35,va-2,0.05469068811438456,1.227434964918123e-170
35,va-3,0.0628717394023342,6.056781456058941e-225
35,LOC,0.29179893034378646,0.0
36,va-1,0.06035238073518837,2.0672127564510165e-207
36,va-2,0.05600232554267429,7.819183002968829e-179
36,va-3,0.06440550081155852,5.689083013497895e-236
36,LOC,0.29555409300304136,0.0
37,va-1,0.06183432212159344,1.2283618631810987e-217
37,va-2,0.05680958747058686,5.649570986518458e-184
37,va-3,0.06488559663474255,1.7715720237156466e-239
37,LOC,0.2806970518269281,0.0
38,va-1,0.0623078854473294,5.874029403285791e-221
38,va-2,0.05788356991547301,6.276149016317424e-191
38,va-3,0.06618928749426366,3.9243014078548747e-249
38,LOC,0.28893329747194174,0.0
39,va-1,0.06148207502009967,3.488070707594661e-215
39,va-2,0.05661397067771897,1.0106630249506324e-182
39,va-3,0.06504307411347367,1.237122807914281e-240
39,LOC,0.28439170685830856,0.0
40,va-1,0.060955916297460624,1.516427820302679e-211
40,va-2,0.05622235519272846,3.1564491898798066e-180
40,va-3,0.06515550324250206,1.8425250764513767e-241
40,LOC,0.29346736996280204,0.0
41,va-1,0.0593822127497072,7.497708795340604e-201
41,va-2,0.05562270707188346,1.92873983915687e-176
41,va-3,0.06404765777340021,2.2476358225293227e-233
41,LOC,0.293959233397195,0.0
42,va-1,0.061162985625053484,5.659117681247078e-213
42,va-2,0.05710191954957155,7.44805034187256e-186
42,va-3,0.06579102353931625,3.661459941250468e-246
42,LOC,0.2973414653918208,0.0
43,va-1,0.060410927781936144,8.243579491302053e-208
43,va-2,0.056593732271255096,1.3612914701747039e-182
43,va-3,0.06460544346213451,1.9852713109229748e-237
43,LOC,0.2915648619363477,0.0
44,va-1,0.0628579856909743,7.58431811585998e-225
44,va-2,0.057612016270319207,3.701949027362326e-189
44,va-3,0.06646205590035491,3.542320500126254e-251
44,LOC,0.2889379516318613,0.0
45,va-1,0.06161909457606877,3.890220583098409e-216
45,va-2,0.057046135217943036,1.7042640847164552e-185
45,va-3,0.06546379308156844,9.779944508170713e-244
45,LOC,0.29685524755117937,0.0
46,va-1,0.06174414376205583,5.2326832885102695e-217
46,va-2,0.05710855145099708,6.7496426326391795e-186
46,va-3,0.06508218193539303,6.381296733909207e-241
46,LOC,0.29359981001648916,0.0
47,va-1,0.0613739949961511,1.961071879319202e-214
47,va-2,0.05749649560933136,2.0853445359320193e-188
47,va-3,0.06527302659089305,2.508448484083174e-242
47,LOC,0.29753744707872803,0.0
48,va-1,0.06158459501502604,6.761279815587176e-216
48,va-2,0.057070394828285076,1.1891663127972201e-185
48,va-3,0.06556324141671835,1.7952878411747812e-244
48,LOC,0.29521080088577784,0.0
49,va-1,0.0632409368146382,1.4199759915196362e-227
49,va-2,0.057874506932396645,7.193259426034647e-191
49,va-3,0.06628636564593401,7.363856945357896e-250
49,LOC,0.2911876539647542,0.0
50,va-1,0.06216858322411599,5.601430358828956e-220
50,va-2,0.05744531122822531,4.480555018922492e-188
50,va-3,0.06561971029401983,6.84860215140062e-245
50,LOC,0.29298900642100617,0.0
51,va-1,0.06234157668705029,3.4020375835102564e-221
51,va-2,0.05754348744621592,1.0326880961529673e-188
51,va-3,0.06611553094844956,1.3967982720996302e-248
51,LOC,0.29476467916998333,0.0
52,va-1,0.06342156254314546,7.243659405436517e-229
52,va-2,0.05863179961488148,7.505680569629513e-196
52,va-3,0.06724473342334379,4.324049319536916e-257
52,LOC,0.29134343977638855,0.0
53,va-1,0.06300073343579043,7.330262804240224e-226
53,va-2,0.05824247018043327,2.783283995735584e-193
53,va-3,0.0662921369959366,6.666093549772979e-250
53,LOC,0.2997492838629984,0.0
54,va-1,0.0625816799558214,6.880202773763087e-223
54,va-2,0.057355453496627046,1.7129023206438375e-187
54,va-3,0.0657643142664154,5.783384511871154e-246
54,LOC,0.29149752586794164,0.0
55,va-1,0.062238713197353523,1.8010529181653964e-220
55,va-2,0.057242556527865966,9.207913989206942e-187
55,va-3,0.06505975450352085,9.328397463175557e-241
55,LOC,0.29077593337537266,0.0
56,va-1,0.06188426968944376,5.499468378533992e-218
56,va-2,0.056628261742664214,8.189237019715753e-183
56,va-3,0.0646998810355046,4.054702248254367e-238
56,LOC,0.29319586040914813,0.0
57,va-1,0.06149351067633437,2.905105397291146e-215
57,va-2,0.0568296220911292,4.2022616730013327e-184
57,va-3,0.0655291595888412,3.2104350357374454e-244
57,LOC,0.2952800642718781,0.0
58,va-1,0.06299120649811679,8.568777861699441e-226
58,va-2,0.058179901835309265,7.17529053478996e-193
58,va-3,0.06766646907327765,2.6340205716848576e-260
58,LOC,0.29938832402502974,0.0
59,va-1,0.06343521578328647,5.7825903178228105e-229
59,va-2,0.05805003806930008,5.10574007182901e-192
59,va-3,0.06661775041075134,2.3906628102174664e-252
59,LOC,0.2912939581015981,0.0
60,va-1,0.06388901027890845,3.149859443390406e-232
60,va-2,0.058282865225544364,1.5093568372588394e-193
